appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
336060,"Raptor: Call of The Shadows - 2015 Edition",game,4.99,"2015-02-13 00:00:00",-1,0,0,336060,Action
336090,"Sky Mercenaries",game,9.99,"2014-12-16 00:00:00",-1,0,0,336090,Action
336090,"Sky Mercenaries",game,9.99,"2014-12-16 00:00:00",-1,0,0,336090,Indie
336110,"Bloody Streets",game,4.99,"2015-03-12 00:00:00",-1,0,0,336110,Action
336110,"Bloody Streets",game,4.99,"2015-03-12 00:00:00",-1,0,0,336110,Indie
336520,"Might & Magic Heroes Online",game,0,"2015-11-24 00:00:00",-1,0,1,336520,"Free to Play"
336520,"Might & Magic Heroes Online",game,0,"2015-11-24 00:00:00",-1,0,1,336520,"Massively Multiplayer"
336520,"Might & Magic Heroes Online",game,0,"2015-11-24 00:00:00",-1,0,1,336520,RPG
336520,"Might & Magic Heroes Online",game,0,"2015-11-24 00:00:00",-1,0,1,336520,Strategy
337150,"Sentinels of the Multiverse",game,9.99,"2014-12-22 00:00:00",-1,0,1,337150,Indie
337150,"Sentinels of the Multiverse",game,9.99,"2014-12-22 00:00:00",-1,0,1,337150,Strategy
338550,"Terra Lander",game,5.99,"2015-02-06 00:00:00",-1,0,0,338550,Casual
338550,"Terra Lander",game,5.99,"2015-02-06 00:00:00",-1,0,0,338550,Indie
340480,"Project Green Beat",game,4.99,"2015-01-16 00:00:00",-1,0,1,340480,Action
340480,"Project Green Beat",game,4.99,"2015-01-16 00:00:00",-1,0,1,340480,Casual
340480,"Project Green Beat",game,4.99,"2015-01-16 00:00:00",-1,0,1,340480,Indie
341710,Crest,game,8.99,"2015-04-23 00:00:00",-1,0,0,341710,"Early Access"
341710,Crest,game,8.99,"2015-04-23 00:00:00",-1,0,0,341710,Indie
341710,Crest,game,8.99,"2015-04-23 00:00:00",-1,0,0,341710,Simulation
341710,Crest,game,8.99,"2015-04-23 00:00:00",-1,0,0,341710,Strategy
343740,"InMind VR",game,0,"2015-01-19 00:00:00",-1,0,0,343740,Action
343740,"InMind VR",game,0,"2015-01-19 00:00:00",-1,0,0,343740,Casual
343740,"InMind VR",game,0,"2015-01-19 00:00:00",-1,0,0,343740,"Free to Play"
343740,"InMind VR",game,0,"2015-01-19 00:00:00",-1,0,0,343740,Indie
