appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Name,Percentage
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,MUTATION_BURROWING_HIVE,13.0259
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,MUTATION_CLONE_STRIKE,19.0311
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,MUTATION_GUARDIANS,7.97114
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,MUTATION_SHARP_SPIKES,20.1657
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,START_CUSTOM_MAP,14.0268
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,TEST_ACHIEVEMENT,0.000990943
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,UNLOCK_EVERYTHING,19.5265
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_1,60.0346
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_10,43.2445
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_11,45.0403
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_12,12.504
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_13,16.6864
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_14,14.4679
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_15,5.10485
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_16,18.3778
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_17,47.0488
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_18,8.01854
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_19,23.6094
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_2,70.5779
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_20,41.1418
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_21,37.4795
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_22,41.2589
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_23,29.0408
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_24,40.3925
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_25,6.19852
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_26,39.5484
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_27,18.7216
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_28,38.5426
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_29,6.95543
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_3,31.3484
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_30,19.49
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_31,4.62613
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_32,4.14359
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_33,27.2112
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_34,4.70379
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_4,10.1957
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_5,8.90404
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_6,62.3728
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_7,43.8053
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_8,44.3731
220740,"Chaos on Deponia",game,19.99,"2012-11-06 00:00:00",78,0,0,220740,dep2_achievement_9,42.8396
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,,0
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_ALL_IN,1.83895
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_ALL_IN_COOP,15.7651
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_ONE_POINT,0.538057
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_1,47.7053
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_10,24.1953
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_100,4.0974
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_1000,0.745828
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_50,8.03126
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_500,1.01203
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_COOP_1,32.9404
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_COOP_10,18.668
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_COOP_100,5.04802
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_COOP_1000,0.954547
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_COOP_50,8.29377
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CAPTURE_POINT_COOP_500,1.44298
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_ALL,1.51056
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_BUHRIZ,8.98577
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_CONTACT,3.54633
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_DISTRICT,6.51613
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_HEIGHTS,5.38538
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_MARKET,7.39487
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_MINISTRY,10.2805
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_PEAK,0.570913
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_REVOLT,5.95982
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_SIEGE,6.36154
222880,Insurgency,game,14.99,"2014-01-22 00:00:00",74,0,1,222880,ACH_CHK_SINJAR,7.40368
