,app_id,is_multiplayer,price,rating,release_date,required_age,title,ratings2021
313,18480,0,9.99,63,2009-07-29 00:00:00,0,Mata Hari,58
314,18500,0,9.99,81,2008-12-08 00:00:00,0,Defense Grid: The Awakening,97
315,18700,0,9.99,75,2009-04-02 00:00:00,0,And Yet It Moves,77
316,19000,0,39.99,64,2008-11-06 00:00:00,17,Silent Hill Homecoming,48
317,19030,0,14.99,63,2010-05-11 00:00:00,0,Rocket Knight,73
318,19680,0,19.99,75,2011-06-17 00:00:00,17,Alice: Madness Returns,-1
319,19800,0,9.99,84,2008-10-10 00:00:00,17,Brothers in Arms: Earned in Blood™,86
320,19810,1,9.99,72,2008-10-10 00:00:00,0,The Sum of All Fears,80
321,19830,1,9.99,85,2008-09-25 00:00:00,0,Tom Clancy's Rainbow Six® 3 Gold,91
322,19900,1,9.99,85,2008-10-22 00:00:00,17,Far Cry® 2: Fortune's Edition,76
323,19930,0,19.99,66,2008-10-10 00:00:00,0,The Settlers®: Rise Of An Empire Gold Edition,-1
324,19980,0,9.99,82,2008-12-10 00:00:00,0,Prince of Persia®,79
325,20500,1,19.99,82,2009-09-15 00:00:00,0,Red Faction Guerrilla Steam Edition,90
326,20510,1,9.99,75,2008-09-15 00:00:00,0,S.T.A.L.K.E.R.: Clear Sky,87
327,20530,1,9.99,78,2009-08-05 00:00:00,0,Red Faction,87
328,20540,1,19.99,70,2009-04-08 00:00:00,17,Company of Heroes: Tales of Valor,92
329,20550,0,9.99,64,2009-08-06 00:00:00,0,Red Faction II,53
330,20570,1,19.99,85,2010-03-10 00:00:00,17,"Warhammer® 40,000: Dawn of War® II Chaos Rising",88
331,20710,0,9.99,83,2008-11-03 00:00:00,0,Mr. Robot,84
332,20820,0,9.99,84,2010-03-15 00:00:00,0,Shatter,96
333,20900,0,9.99,86,2008-09-19 00:00:00,0,The Witcher: Enhanced Edition Director's Cut,88
334,20920,0,19.99,88,2012-04-16 00:00:00,17,The Witcher 2: Assassins of Kings Enhanced Edition,89
335,21000,0,19.99,80,2008-09-29 00:00:00,0,LEGO Batman,85
