app_id,sum(CGS.total_play_time)
17440,15600112
17500,22778367
17510,5779568
17520,3123563
17530,735722
17550,254473
17570,5356911
17580,238497
17600,5204431
17700,17079500
17730,140653
17740,697729
17760,1212
17800,3075566
17810,2443809
18000,17719314
18020,10918311
18100,1913761
18110,19850356
18300,1983606
18490,2347180
18600,548401
18820,5584522
19020,1326719
19080,24221
19090,2143368
19200,1110881
19320,90356
19500,97999
19840,23541
19910,0
19990,251532
20200,310960
20400,2710
20590,131303549
20700,3282579
20840,28695576
21070,635997
21080,817047
21140,8900191
21170,39542583
21180,4306
21300,399193
21400,277290
21500,112720
21600,776514
21610,2851327
21620,9119
21730,2004932
21750,637885
21900,20277958
21910,62877379
21920,739400
21950,106950
21970,660730908
21990,518183
22500,17693821
22700,9005
23100,2286861
23120,7935926
23130,413416
23140,645466
23150,399162
23200,1286393
23300,2221859
23360,3456476
23390,28304616
23440,873659
23510,296602
23700,11641336
24010,856513266
24120,8103637
24130,15963990
24140,2254508
24150,1850
24170,26864400
24180,12891498
24210,2818547
24220,11773072
24400,138473557
24410,2265279
24470,29313018
24500,1639359
24600,3126393
24610,246314
24620,266320
24630,3970585
24640,156805
24650,129135
24660,298231
24670,11648004
24700,2635052
24760,6279269
24780,363750931
24800,60160569
24820,916410
24830,687368
24850,30829574
24920,1751
24950,699
24999,0
25010,2312877
25500,10531099
25620,6654322
25730,46747
25840,2291091
25870,85706
25920,1
25930,10740722
25940,532732
25990,8423067
26700,18
26710,65972
27020,3489721
27040,8311
27050,175129
27200,340136
27220,10809506
27240,12
27300,1086703
27600,401663
27800,245706
27810,428420
27900,1650215
27920,1267802
27940,3730856
28050,1719972998
29100,7
29110,26
29120,187451
29130,353716
29140,1350
29150,258
29500,13032137
29520,132321
29530,294689
29550,4641269
29590,292415
29640,31543642
29650,49144016
29660,13477515
29670,14769511
29680,8778873
29690,1265603
29720,138334847
29800,1052290
31100,2416013
31110,983424
31120,699679
31130,690316
31220,8113072
31230,4877044
31240,4160038
31250,3528574
31260,3018006
31410,20838616
31500,2043
31850,529275
31870,181596
31890,337711
32000,134867
32110,9129157
32120,5290511
32130,624353
32140,1636672
32150,23589789
32160,4341625
32200,4498950
32310,2908298
32340,3835883
32390,4136776
32400,11691463
32470,143890688
32610,3747907
32620,594753
32630,912344
32680,4910510
32690,1204995
32700,1286809
32710,277949
32720,401268
32730,657018
32740,151227
32760,1660538
32770,1381341
33100,1694366
33110,1405815
33120,10026072
33130,4121180
33180,7081809
33220,163068197
33250,32900719
33260,1038532
33270,199675
33280,9879614
33340,41315608
33350,20905620
33500,1402113
33510,1560073
33520,11546266
33530,9156489
33540,448294
33550,218715
33580,1232459
33600,3064501
33620,2603201
33650,5014890
33660,293304
33680,1537004
33700,50110
33710,65575
33720,1254
33730,3113723
33740,952781
33750,1451810
33760,85436
33770,6985230
33780,1225508
33790,231238
33950,312412
33980,818778
34000,6434791310
34220,8226682735
34250,8879489
34270,36520625
34330,5412484683
34420,522396
34640,1278329
34670,5133386
34810,692360
34820,4568349
34860,2184955
34900,1602648
35030,41671406
35070,1136669
35300,863821
35320,1927124
35420,13077479
35470,42926
35480,15841256
35500,23806554
35510,12939944
35600,1210557
35800,268776
36000,4345275
36100,319232
36110,436234
36120,567581
36130,121700
36140,183534
36150,412478
36160,288477
36170,548402
36180,738737
36190,532986
36200,1226813
36210,758732
36240,334658
36270,633839
36280,542398
36290,480262
36300,1006842
36310,1377070
36320,51922
36350,1
36360,NULL
36370,NULL
36630,2538960
36700,2993573
36900,9436
36910,58428
37000,7110514
37100,856547
37200,3424049
37210,979242
37220,1943956
37230,565089
37240,1643490
