app_id,title,price,release_date,rating,required_age,is_multiplayer,total_positive,total_negative
3560,Bejeweled Twist,4.99,2008-11-18 00:00:00,78,0,0,193,40
3570,Mystery P.I.™ - The New York Fortune,4.99,2009-01-28 00:00:00,-1,0,0,11,5
3580,The Wizard's Pen™,4.99,2009-02-18 00:00:00,-1,0,0,21,3
3590,Plants vs. Zombies GOTY Edition,4.99,2009-05-05 00:00:00,87,0,0,44087,1631
3600,Escape Rosecliff Island,4.99,2009-04-15 00:00:00,-1,0,0,50,17
3610,Mystery P.I. - Lost in Los Angeles,4.99,2009-07-27 00:00:00,-1,0,0,13,4
3620,Zuma's Revenge!,4.99,2009-09-15 00:00:00,78,0,0,756,39
3630,Bookworm™ Adventures Volume 2,4.99,2009-07-30 00:00:00,79,0,0,33,3
3700,Sniper Elite,9.99,2009-07-16 00:00:00,76,0,0,1452,429
3710,Judge Dredd: Dredd vs. Death,7.99,2009-03-26 00:00:00,55,0,1,627,89
3720,Evil Genius,9.99,2009-06-22 00:00:00,75,0,0,2467,125
3730,Aliens versus Predator Classic 2000,4.99,2010-01-15 00:00:00,-1,17,1,1572,238
3800,Advent Rising,9.99,2006-09-14 00:00:00,70,0,0,238,58
3810,BloodRayne,9.99,2006-09-14 00:00:00,65,17,0,360,96
3820,BloodRayne 2,9.99,2006-09-14 00:00:00,67,17,0,246,106
3830,Psychonauts,9.99,2006-10-11 00:00:00,87,0,0,5702,211
3900,Sid Meier's Civilization® IV,19.99,2006-10-25 00:00:00,94,0,1,1541,125
3910,Sid Meier's Civilization® III Complete,4.99,2006-10-25 00:00:00,90,0,1,2859,287
3920,Sid Meier's Pirates!,9.99,2005-07-11 00:00:00,88,0,0,3351,205
3960,Shattered Union,4.99,2006-10-25 00:00:00,67,0,1,51,51
3980,CivCity: Rome,9.99,2007-04-06 00:00:00,67,0,0,304,118
3990,Civilization IV®: Warlords,4.99,2007-04-06 00:00:00,84,0,0,176,17
4000,Garry's Mod,9.99,2006-11-29 00:00:00,-1,0,1,549883,19447
4100,Poker Superstars II,9.99,2006-10-05 00:00:00,-1,0,0,5,5
4230,RACE - The WTCC Game,39.99,2006-11-24 00:00:00,-1,0,1,57,14
4240,RACE - The WTCC Game,39.99,2006-11-24 00:00:00,-1,0,1,0,0
4290,RACE: Caterham Expansion,4.99,2007-06-22 00:00:00,-1,0,1,2,1
4300,RoboBlitz,9.99,2006-11-07 00:00:00,80,0,0,26,8
4420,Silverfall,9.99,2007-03-20 00:00:00,62,0,0,58,43
4460,City Life 2008,9.99,2008-09-29 00:00:00,-1,0,0,102,41
4470,Silverfall: Earth Awakening,9.99,2008-07-18 00:00:00,-1,0,1,45,15
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,19.99,2007-03-20 00:00:00,82,17,1,15126,713
4520,Full Spectrum Warrior,9.99,2007-07-17 00:00:00,80,0,1,117,64
4530,Full Spectrum Warrior: Ten Hammers,9.99,2007-07-17 00:00:00,70,0,1,91,44
4540,Titan Quest,14.99,2007-07-17 00:00:00,77,0,1,1302,216
4550,Titan Quest - Immortal Throne,14.99,2007-07-17 00:00:00,80,0,0,1587,131
4560,Company of Heroes,19.99,2007-07-17 00:00:00,93,17,1,3377,253
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,2007-08-07 00:00:00,86,17,1,3953,169
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,2007-08-07 00:00:00,87,17,1,4075,147
4700,Medieval II: Total War™,19.99,2007-11-27 00:00:00,88,0,1,14300,687
4720,Condemned: Criminal Origins,14.95,2012-10-29 00:00:00,78,17,0,1168,184
4760,Rome: Total War™ - Collection,9.99,2007-08-28 00:00:00,92,0,1,9366,574
4770,Rome: Total War™ - Alexander,4.99,2007-08-28 00:00:00,79,0,1,414,152
4780,Medieval II: Total War™ Kingdoms,11.99,2007-11-27 00:00:00,85,0,1,516,27
4800,Heroes of Annihilated Empires,14.99,2006-11-22 00:00:00,65,0,1,280,34
4850,Cossacks: Back to War,4.99,2010-09-02 00:00:00,60,0,1,1376,185
4870,Cossacks: Art of War,4.99,2011-08-26 00:00:00,74,0,0,141,29
4880,Cossacks: European Wars,4.99,2011-08-26 00:00:00,74,0,0,205,81
4890,Cossacks II: Battle for Europe,4.99,2011-08-26 00:00:00,69,0,1,394,140
4900,Zen of Sudoku,4.99,2006-12-14 00:00:00,-1,0,0,81,9
4920,Natural Selection 2,9.99,2012-10-30 00:00:00,80,0,1,6491,1067
4932,Natural Selection 2,9.99,2012-10-30 00:00:00,80,0,1,0,0
6000,STAR WARS™ Republic Commando™,9.99,2009-07-08 00:00:00,78,0,0,8627,440
6010,Indiana Jones® and the Fate of Atlantis™,5.99,2009-07-08 00:00:00,-1,0,0,779,45
6020,STAR WARS™ Jedi Knight - Jedi Academy™,9.99,2009-09-16 00:00:00,81,0,1,8081,347
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,9.99,2009-09-16 00:00:00,89,0,1,2578,248
6040,The Dig®,5.99,2009-07-08 00:00:00,-1,0,0,695,63
6060,STAR WARS™ Battlefront™ II,9.99,2009-07-08 00:00:00,78,0,0,34908,2384
6080,Thrillville®: Off the Rails™,9.99,2009-07-08 00:00:00,70,0,0,396,31
6090,Armed and Dangerous®,5.99,2009-07-08 00:00:00,78,0,0,158,17
6120,Shank,9.99,2010-10-25 00:00:00,67,17,0,1516,155
6129,Shank,9.99,2010-10-25 00:00:00,67,17,0,0,0
6200,Ghost Master®,4.99,2006-12-21 00:00:00,81,0,0,1122,148
6210,Vegas: Make It Big™,4.99,2006-12-21 00:00:00,-1,0,0,90,27
6220,FlatOut,7.49,2007-02-02 00:00:00,72,0,1,2562,193
6250,Making History: The Calm & the Storm,4.99,2007-03-13 00:00:00,70,0,1,416,107
6270,Ducati World Championship,4.99,2007-09-21 00:00:00,35,0,1,60,89
6300,Dreamfall: The Longest Journey,19.99,2007-01-12 00:00:00,75,0,0,653,112
6310,The Longest Journey,9.99,2007-05-01 00:00:00,91,0,0,1218,125
6370,Bloodline Champions,0.0,2011-10-28 00:00:00,79,0,1,8,0
6400,Joint Task Force,9.99,2007-03-27 00:00:00,68,0,1,120,18
6420,Nexus - The Jupiter Incident,9.99,2007-07-03 00:00:00,77,0,1,561,102
6510,Lost Planet™: Extreme Condition,14.99,2007-06-26 00:00:00,66,0,1,680,200
6550,Devil May Cry® 3 Special Edition,19.99,2007-06-12 00:00:00,66,0,0,1347,953
6600,Bullet Candy,3.99,2007-02-14 00:00:00,-1,0,0,32,30
6800,Commandos: Behind Enemy Lines,3.99,2007-03-15 00:00:00,-1,0,1,1980,253
6810,Commandos: Beyond the Call of Duty,3.99,2007-03-15 00:00:00,-1,0,1,513,77
6830,Commandos 2: Men of Courage,3.99,2007-03-15 00:00:00,87,0,1,1522,285
6840,Commandos 3: Destination Berlin,3.99,2007-03-15 00:00:00,72,0,1,449,284
6850,Hitman 2: Silent Assassin,6.99,2007-03-15 00:00:00,87,0,0,1457,291
6860,Hitman: Blood Money,8.99,2007-03-15 00:00:00,82,17,0,6992,464
6870,Battlestations: Midway,6.99,2007-03-15 00:00:00,76,0,0,411,140
6880,Just Cause,6.99,2007-03-15 00:00:00,75,17,0,1978,998
6900,Hitman: Codename 47,6.99,2007-03-15 00:00:00,73,17,0,1366,544
6910,Deus Ex: Game of the Year Edition,6.99,2007-03-29 00:00:00,90,0,1,8036,429
6920,Deus Ex: Invisible War,6.99,2007-03-29 00:00:00,80,0,0,783,559
6980,Thief: Deadly Shadows,8.99,2007-03-29 00:00:00,85,0,0,1338,292
7000,Tomb Raider: Legend,6.99,2007-03-29 00:00:00,82,0,0,2429,317
7010,Project: Snowblind,5.99,2007-03-29 00:00:00,76,0,1,274,98
